Date,Artist,Album,Rating,Notes
43829,Self Esteem,Compliments Please (DLX),9-10,repeat!!!
43829,Self Esteem,Compliments Please (DLX),9-10,repeat!!!
43829,Lincoln,A Constant State of Ohio,9,<3 <3 <3 Deepti's reccomendation!!!
43830,Carole King,Tapestry,7-8,
43830,Robert Ashley,Improvement (Don Leaves Linda) ,7,* * *
43830,Robert Ashley,Automatic Writing,8-9,get into!!!
43831,Self Esteem,Compliments Please (DLX),9-10,repeat!!!
43831,Robert Ashley,Improvement,8,
43831,Self Esteem,Compliments Please (DLX),10,<3 <3 <3 <3 <3
43831,Yazz Ahmed,Polyhymnia,8,
43831,TNGHT,II,7,
43831,Lim Kim,GENERASIAN,8,repeat!!
43832,Griselda,WWCD,7-8,
43832,Ecco2k,E,8-9,repeat!!!
43832,glass beach,the first glass beach album,9,repeat!!! sent Deepti!!!
43832,Mark Guiliana,BEAT MUSIC! BEAT MUSIC! BEAT MUSIC!,8,sex music?
43832,Mary J. Blige,HERstory Vol. 1,9,repeat!!! send Jonny!!!
43833,Junius Paul,Ism,8-9,repeat!!!
43833,Akasha System,Echo Earth,8,
43833,Beat Happening,Jamboree,8,get into!!!
43833,KAYTRANADA,BUBBA,7-8,
43833,Deathprod,Occulting Disk,7,
43834,Burial,Tunes 2011-2019,7,
43834,My Chemical Romance,Three Cheers for Sweet Revenge,8,solid!!!
43835,State Faults,Clairvoyant,7-8,
43835,American Football,American Football (LP3),8,
43835,Various Artists,Until The End Of The World,8,repeat!!
43836,Fennesz and Jim O'Rourke,It's Hard for Me to Say I'm Sorry,7,repeat!!
43836,Mystery Skulls,Back To Life,8,Deepti's recommendation!!!
43836,Nick Cave & The Bad Seeds,Ghosteen,9,repeat!!
43836,Big Thief,U.F.O.F.,7-8,repeat!
43836,The Rolling Stones,Tattoo You,7-8,
43836,Prince,1999,9,get into!!!
43837,Daryl Hall & John Oates,Big Bam Boom,7-8,Deepti's recommendation!!!
43837,100 gecs,1000 gecs,8-9,repeat!!!
43837,Cult of Luna,A Dawn to Fear,8,
43837,Purple Mountains,Purple Mountains,9-10,<3 <3 <3 <3 <3
43837,96 Back,"Excitable, Girl",8,
43837,Giant Swan,Giant Swan,8-9,repeat!!!
43838,Slikback,Tomo / Lasakaneku,8,
43838,Loraine James,For Your and I,8,
43838,Meitei,Komachi,7-8,
43838,Dave,PSYCHODRAMA,10,BUY
43838,Anthony Naples,Fog FM,8,
43838,Kano,Hoodies All Summer,8,repeat!!
43838,Special Request,Vortex,8,
43839,Angel Bat Dawid,The Oracle,8-9,repeat!!!
43839,Robert Stillman,Reality,8,repeat!!!
43839,King Midas Sound,Solitude,7-8,
43839,Midori Hirano,Mirrors in Mirrors,7-8,
43839,KOKOKO!,Fongola,7,
43839,Carla dal Forno,Look Up Sharp,8,repeat!!
43840,Rolling Blackouts Coastal Fever,Hope Downs,9,<3 <3 <3 <3 <3
43841,Stormzy,Heavy Is The Head,7-8,
43842,Maria Somerville,All My People,7,
43842,Various Artists,"Seito: In the Beginning, Woman Was the Sun",7,
43842,Skepta,Ignorance is Bliss,9,repeat!!! (recc to Jonny and Cy!!!)
