Date,Artist,Album,Rating,Notes
12/30/2019,Self Esteem,Compliments Please (DLX),9-10,repeat!!!
12/30/2019,Self Esteem,Compliments Please (DLX),9-10,repeat!!!
12/30/2019,Lincoln,A Constant State of Ohio,9,<3 <3 <3 Deepti's reccomendation!!!
12/31/2019,Carole King,Tapestry,7-8,
12/31/2019,Robert Ashley,Improvement (Don Leaves Linda) ,7,* * *
12/31/2019,Robert Ashley,Automatic Writing,8-9,get into!!!
1/1/2020,Self Esteem,Compliments Please (DLX),9-10,repeat!!!
1/1/2020,Robert Ashley,Improvement,8,
1/1/2020,Self Esteem,Compliments Please (DLX),10,<3 <3 <3 <3 <3
1/1/2020,Yazz Ahmed,Polyhymnia,8,
1/1/2020,TNGHT,II,7,
1/1/2020,Lim Kim,GENERASIAN,8,repeat!!
1/2/2020,Griselda,WWCD,7-8,
1/2/2020,Ecco2k,E,8-9,repeat!!!
1/2/2020,glass beach,the first glass beach album,9,repeat!!! sent Deepti!!!
1/2/2020,Mark Guiliana,BEAT MUSIC! BEAT MUSIC! BEAT MUSIC!,8,sex music?
1/2/2020,Mary J. Blige,HERstory Vol. 1,9,repeat!!! send Jonny!!!
1/3/2020,Junius Paul,Ism,8-9,repeat!!!
1/3/2020,Akasha System,Echo Earth,8,
1/3/2020,Beat Happening,Jamboree,8,get into!!!
1/3/2020,KAYTRANADA,BUBBA,7-8,
1/3/2020,Deathprod,Occulting Disk,7,
1/4/2020,Burial,Tunes 2011-2019,7,
1/4/2020,My Chemical Romance,Three Cheers for Sweet Revenge,8,solid!!!
1/5/2020,State Faults,Clairvoyant,7-8,
1/5/2020,American Football,American Football (LP3),8,
1/5/2020,Various Artists,Until The End Of The World,8,repeat!!
1/6/2020,Fennesz and Jim O'Rourke,It's Hard for Me to Say I'm Sorry,7,repeat!!
1/6/2020,Mystery Skulls,Back To Life,8,Deepti's recommendation!!!
1/6/2020,Nick Cave & The Bad Seeds,Ghosteen,9,repeat!!
1/6/2020,Big Thief,U.F.O.F.,7-8,repeat!
1/6/2020,The Rolling Stones,Tattoo You,7-8,
1/6/2020,Prince,1999,9,get into!!!
1/7/2020,Daryl Hall & John Oates,Big Bam Boom,7-8,Deepti's recommendation!!!
1/7/2020,100 gecs,1000 gecs,8-9,repeat!!!
1/7/2020,Cult of Luna,A Dawn to Fear,8,
1/7/2020,Purple Mountains,Purple Mountains,9-10,<3 <3 <3 <3 <3
